51,71
71,75
55,75
55,51
7,17
19,17
19,9
9,7
107,117
117,119
119,109
109,107
51,7
51,107
71,17
71,117
75,19
75,119
55,9
55,109
3,101
3,105
51,5
51,105
103,1
103,5
55,1
55,101
51,21
51,121
11,121
11,101
71,1
71,101
111,1
111,21
71,25
71,125
23,121
23,125
75,21
75,121
123,21
123,25
75,5
75,105
15,105
15,125
55,125
55,25
115,5
115,25
111,105
111,125
123,101
123,105
115,101
115,121
103,121
103,125
11,5
11,25
23,1
23,5
15,1
15,21
3,21
3,25
12,112
18,118
14,114
8,108
56,60
36,40
66,70
86,90
28,48
52,72
78,98
54,74
32,5
32,21
82,105
82,121
42,1
42,25
92,101
92,125
44,21
44,5
94,105
94,121
34,1
34,25
84,101
84,125
34,105
84,5
32,101
82,1
42,121
92,21
44,125
94,25
51,71
71,75
75,55
55,51
51,113
71,113
75,113
55,113
51,13
71,13
75,13
55,13
61,82
61,32
61,92
61,42
73,92
73,42
73,44
73,94
65,44
65,94
65,34
65,84
53,32
53,82
53,34
53,84
113,92
113,94
113,84
113,82
13,32
13,42
13,44
13,34
1,32
21,42
25,44
5,34
101,82
121,92
125,94
105,84
7,119
17,109
9,117
19,107
31,95
81,45
41,85
91,35
27,99
77,49
29,97
79,47
1,7
1,31
1,27
101,81
101,107
101,77
21,17
21,41
21,47
121,91
121,97
121,117
25,19
25,45
25,49
125,119
125,99
125,95
5,9
5,29
5,35
105,109
105,79
105,85
